epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,20265.3,1.00231,0.43148,0.00442,0.97983,0.92009,0.97956,0.86234,0.85709,0.34882,0.00509,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984
41,20747.7,1.01141,0.4339,0.00444,0.95701,0.9413,0.9763,0.86233,0.80167,0.34925,0.0051,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
42,21226.9,0.99811,0.43456,0.0044,0.96139,0.93116,0.97739,0.84383,0.89597,0.38722,0.00558,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844
43,21706.4,0.99714,0.42726,0.00431,0.96769,0.93618,0.97967,0.86597,0.79279,0.34143,0.00489,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
44,22184.6,0.97716,0.41279,0.00429,0.98038,0.92559,0.9792,0.87087,0.78473,0.33582,0.00483,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313
45,22683.7,0.98708,0.4232,0.00439,0.96586,0.93701,0.97886,0.86719,0.80022,0.33549,0.00479,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
46,23164.2,0.99112,0.41643,0.00425,0.9721,0.93217,0.97878,0.87588,0.76262,0.33001,0.00458,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401
47,23649.5,0.97823,0.41957,0.00427,0.97549,0.93094,0.97976,0.87426,0.73337,0.32555,0.00464,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
48,24142.8,0.99198,0.42154,0.00428,0.96106,0.95069,0.98133,0.87102,0.83726,0.34505,0.00495,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117
49,24622.6,0.9753,0.41158,0.00427,0.96605,0.93298,0.98108,0.88006,0.75887,0.32646,0.00466,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
50,25099.1,0.97412,0.41038,0.00424,0.96918,0.94027,0.9805,0.86656,0.8219,0.33922,0.00501,0.0258142,0.00860473,0.0258142,0.00860473,0.0258142,0.00860473,0.0258142,0.00860473
